counts,number of items in equivalence class,isoforms in equivalence class
743910,0,NA
2,1,ENST00000003302
1,1,ENST00000020926
108,1,ENST00000039989
465,1,ENST00000054950
1,1,ENST00000064778
39,1,ENST00000064780
130,1,ENST00000164133
2,1,ENST00000176195
11,1,ENST00000200135
925,1,ENST00000227155
8,1,ENST00000227157
5,1,ENST00000227163
52,1,ENST00000227322
1,1,ENST00000227349
590,1,ENST00000227451
540,1,ENST00000227471
82,1,ENST00000227507
100,1,ENST00000227520
491,1,ENST00000227524
44,1,ENST00000227525
6,1,ENST00000227638
131,1,ENST00000227752
154,1,ENST00000227756
1,1,ENST00000227868
3,1,ENST00000228027
964,1,ENST00000228136
5,1,ENST00000228140
1,1,ENST00000241014
6,1,ENST00000241051
327,1,ENST00000241052
38,1,ENST00000243662
1,1,ENST00000243673
13,1,ENST00000246747
4,1,ENST00000249923
6,1,ENST00000250024
4,1,ENST00000250699
4,1,ENST00000251871
15,1,ENST00000251968
17,1,ENST00000252108
24,1,ENST00000252268
1,1,ENST00000253925
373,1,ENST00000254436
110,1,ENST00000254579
85,1,ENST00000254605
206,1,ENST00000254616
5,1,ENST00000255082
5,1,ENST00000255681
6,1,ENST00000255695
15,1,ENST00000256196
1,1,ENST00000256733
14,1,ENST00000256996
91,1,ENST00000257245
7,1,ENST00000257261
42,1,ENST00000257262
1,1,ENST00000257264
1,1,ENST00000257359
45,1,ENST00000257829
165,1,ENST00000257836
1,1,ENST00000260058
10,1,ENST00000260191
3016,1,ENST00000260197
47,1,ENST00000260210
213,1,ENST00000260227
1,1,ENST00000260228
47,1,ENST00000260247
23,1,ENST00000260257
329,1,ENST00000260270
18,1,ENST00000260276
146,1,ENST00000263181
26,1,ENST00000263309
71,1,ENST00000263401
1,1,ENST00000263468
2,1,ENST00000263576
315,1,ENST00000263579
103,1,ENST00000263593
165,1,ENST00000263645
4,1,ENST00000263646
440,1,ENST00000263672
99,1,ENST00000263674
232,1,ENST00000263681
794,1,ENST00000263773
338,1,ENST00000263774
65,1,ENST00000263776
611,1,ENST00000263847
2,1,ENST00000264020
136,1,ENST00000264025
111,1,ENST00000264027
21,1,ENST00000264031
481,1,ENST00000264033
154,1,ENST00000264036
3,1,ENST00000264555
1,1,ENST00000265460
487,1,ENST00000265462
213,1,ENST00000265465
3,1,ENST00000265637
132,1,ENST00000265641
66,1,ENST00000265689
2,1,ENST00000265840
10,1,ENST00000265843
354,1,ENST00000265909
28,1,ENST00000265963
1,1,ENST00000265965
5,1,ENST00000265978
164,1,ENST00000265981
2,1,ENST00000265983
16,1,ENST00000270115
276,1,ENST00000273550
299,1,ENST00000275517
31,1,ENST00000278193
1,1,ENST00000278302
1,1,ENST00000278314
1,1,ENST00000278319
534,1,ENST00000278353
2,1,ENST00000278385
1558,1,ENST00000278412
29,1,ENST00000278422
90,1,ENST00000278483
443,1,ENST00000278505
5,1,ENST00000278550
3,1,ENST00000278572
7,1,ENST00000278590
317,1,ENST00000278612
253,1,ENST00000278618
29,1,ENST00000278671
